BIBLIOTECA_ID,Tipo,Indirizzo,CAP,COMUNE,PROVINCIA,Telefono,Fax,Mail,Web,Generale_Storica,Informativa_Divulgativa,Specializzata,CENTROCAT,Edificio_Monumentale,Secolo_Costruzione,Denominazione_Edificio,Centro_Storico,Periferia,Frazione,Superficie_Adibita_Al_Pubblico,Superficie_Totale,Posti_Lettura,Nome_Sistema,Lun_Apertura_Mattina,Lun_Chiusura_Mattina,Lun_Apertura_Pomeriggio,Lun_Chiusura_Pomeriggio,Lun_Apertura_Sera,Lun_Chiusura_Sera,Mar_Apertura_Mattina,Mar_Chiusura_Mattina,Mar_Apertura_Pomeriggio,Mar_Chiusura_Pomeriggio,Mar_Apertura_Sera,Mar_Chiusura_Sera,Mer_Apertura_Mattina,Mer_Chiusura_Mattina,Mer_Apertura_Pomeriggio,Mer_Chiusura_Pomeriggio,Mer_Apertura_Sera,Mer_Chiusura_Sera,Gio_Apertura_Mattina,Gio_Chiusura_Mattina,Gio_Apertura_Pomeriggio,Gio_Chiusura_Pomeriggio,Gio_Apertura_Sera,Gio_Chiusura_Sera,Ven_Apertura_Mattina,Ven_Chiusura_Mattina,Ven_Apertura_Pomeriggio,Ven_Chiusura_Pomeriggio,Ven_Apertura_Sera,Ven_Chiusura_Sera,Sab_Apertura_Mattina,Sab_Chiusura_Mattina,Sab_Apertura_Pomeriggio,Sab_Chiusura_Pomeriggio,Sab_Apertura_Sera,Sab_Chiusura_Sera,Dom_Apertura_Mattina,Dom_Chiusura_Mattina,Dom_Apertura_Pomeriggio,Dom_Chiusura_Pomeriggio,Dom_Apertura_Sera,Dom_Chiusura_Sera,Direttore_Responsabile,Personale_Tempo_Pieno,Personale_Tempo_Parziale,Personale_Contratto_A_Termine,Obiettori_Di_Coscienza,Volontari,Fondo_Moderno,Fondo_Ragazzi,Fondo_Antico,Incunaboli,Cinquecentine,Musicali_1,Stampati_Totali,Manoscritti_Totale,Codici,Codici_Antichi_XVI_Sec,Pergamene,Carteggi,Autografi,Musicali,Cessati,Correnti,Periodici_Totale,Dischi_CD,Audiocassette,Nastri_Magnetici,VHS_Videonastri,DVD,Diapositive,Microfilm,Filmine,Microfiches,CDROM,Altre_Risorse_Elettroniche,Materiale_Audio_Video,Stampe_Incisioni,Disegni,Fotografie,Carte_Geografiche_Mappe,Manifesti,Materiali_Grafici_Totale
200812002001,Biblioteca Comunale,piazza IV Novembre,21041,Albizzate,VA,0331985277,,biblioalbizzate@sbgallarate.it,http://www.sbgallarate.it/biblioteche/albizzate/,0,1,0,0,0,0,,1,0,0,432,432,44,Antonio Panizzi di Gallarate,00:00,00:00,14:00,18:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,14:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,16:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Bernini Marina,1,0,0,0,1,26562,8992,0,0,0,0,26562,0,0,0,0,0,0,0,0,24,24,184,22,0,440,198,0,0,0,0,170,0,1014,0,0,0,0,0,0
200812003001,Biblioteca Comunale,"via Guglielmo Marconi, 2",21021,Angera,VA,0331931915,0331960181,biblioteca-museo@comune.angera.it,www.comune.angera.va.it,0,1,0,0,1,15,casa del Pretorio,1,0,0,130,130,20,dei Laghi,00:00,00:00,00:00,00:00,00:00,00:00,10:00,12:00,14:30,18:30,00:00,00:00,10:00,12:00,00:00,00:00,00:00,00:00,10:00,12:00,14:30,18:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,09:00,12:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Di Pasquale Antonio,1,0,0,0,1,20834,0,0,0,0,0,20834,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
200812004001,Biblioteca Comunale,"piazza De Gasperi, 6",21051,Arcisate,VA,0332474181,0332474747,bibarcis@iol.it,,0,1,0,0,0,0,,1,0,0,145,210,36,Valli dei Mulini,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,14:00,19:00,00:00,00:00,00:00,00:00,14:00,19:00,00:00,00:00,09:00,12:00,00:00,00:00,00:00,00:00,00:00,00:00,15:00,19:00,00:00,00:00,09:00,13:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Montanari Anna Paola,1,0,0,0,1,19114,0,0,0,0,0,19114,0,0,0,0,0,0,0,0,3,3,0,9,0,0,61,0,0,0,0,5,0,75,0,0,0,0,0,0
200812005001,Biblioteca Comunale,"via Giuseppe Garibaldi, 13",21010,Arsago Seprio,VA,0331769412,0331769412,cegimo@tin.it,http://www.sbgallarate.it/biblioteche/arsago_seprio/,0,1,0,0,0,0,,1,0,0,40,75,22,Antonio Panizzi di Gallarate,00:00,00:00,15:30,18:30,00:00,00:00,00:00,00:00,15:30,18:30,00:00,00:00,00:00,00:00,15:30,18:30,00:00,00:00,09:30,11:30,15:30,18:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,12:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Zen Graziella,0,1,0,0,1,14906,0,0,0,0,0,14906,0,0,0,0,0,0,0,12,6,18,0,0,0,53,25,0,0,0,0,81,0,159,0,0,0,0,0,0
200812006001,Biblioteca Civica Don Achille Triacca,"via Benizzi Castellani, 1",21022,Azzate,VA,0332455426,,biblioteca@comune.azzate.va.it,www.comune.azzate.va.it/artecultura/index.htm,0,1,0,0,1,18,villa Bossi Benizzi Tettoni Castellani,1,0,0,130,130,12,Valli dei Mulini,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,14:30,18:00,00:00,00:00,08:30,13:00,00:00,00:00,00:00,00:00,00:00,00:00,14:30,19:00,00:00,00:00,00:00,00:00,14:30,18:00,00:00,00:00,09:00,12:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Casagrande Marica,1,1,0,0,1,18993,6934,0,0,1,0,18994,0,0,0,0,0,0,0,4,13,17,35,5,0,571,188,0,0,0,0,88,0,887,0,0,0,14,0,14
200812008001,Biblioteca Comunale,via Don B.Parietti,21020,Barasso,VA,0332744593,,biblioteca.barasso@gmail.com,www.comune.barasso.va.it,0,1,0,0,0,0,,1,0,0,120,120,8,dei Laghi,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,15:00,17:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,15:00,17:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,12:00,00:00,00:00,00:00,00:00,,0,0,0,0,1,9000,1000,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200812009001,Biblioteca Comunale,via Giacomo Matteotti,21020,Bardello,VA,0332735533,0332730753,biblioteca@comune.bardello.va.it,www.sblaghi.it,0,1,0,0,0,0,,1,0,0,35,35,10,dei Laghi,00:00,00:00,14:00,16:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,17:00,18:30,20:30,22:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,0,0,0,0,1,2525,660,0,0,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200812012001,Biblioteca Comunale,"via Milyus, 4/B",21010,Besnate,VA,0331275017,0331275829,demografici@comune.besnate.va.it,http://www.sbgallarate.it/biblioteche/besnate/,0,1,0,0,0,0,,0,1,0,191,191,29,Antonio Panizzi di Gallarate,00:00,00:00,15:00,18:00,00:00,00:00,00:00,00:00,14:00,19:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,14:00,19:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Bonetti Mirella,0,1,0,0,1,36578,0,0,0,0,0,36578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200812013001,Biblioteca Comunale,"via Giuseppe Mazzini, 4",21023,Besozzo,VA,,,tributi@comune.besozzo.va.it,,0,1,0,0,1,16,palazzo del Comune,1,0,0,100,100,5,,00:00,00:00,18:00,19:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,17:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,16:30,17:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,0,0,0,0,1,7993,1835,50,0,0,0,8043,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0
200812015001,Biblioteca Comunale,"via Giuseppe Mazzini, 14",21050,Bisuschio,VA,0332477905,,biblioteca.bisuschio@libero.it,,0,1,0,0,0,0,,1,0,0,105,105,8,Valli dei Mulini,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,14:00,16:00,00:00,00:00,00:00,00:00,15:00,17:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,15:00,19:00,00:00,00:00,09:00,12:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,MANINI ANNALISA IMPIEGATA,0,1,1,0,1,7521,2632,0,0,0,0,7521,0,0,0,0,0,0,0,0,2,2,13,0,0,8,2,0,0,0,0,13,0,36,0,0,0,0,0,0
